image,type
D:\dataset\hair\data\curly\image181.jpg,0
D:\dataset\hair\data\curly\image182.jpg,0
D:\dataset\hair\data\curly\image184.jpg,0
D:\dataset\hair\data\curly\image185.jpg,0
D:\dataset\hair\data\curly\image188.jpg,0
D:\dataset\hair\data\curly\image189.jpg,0
D:\dataset\hair\data\curly\image19 (2).jpg,0
D:\dataset\hair\data\curly\image19.jpg,0
D:\dataset\hair\data\curly\image194.jpg,0
D:\dataset\hair\data\curly\image195.jpg,0
D:\dataset\hair\data\curly\image196.jpg,0
D:\dataset\hair\data\curly\image197.jpg,0
D:\dataset\hair\data\curly\image198.jpg,0
D:\dataset\hair\data\curly\image199.jpg,0
D:\dataset\hair\data\curly\image2.jpg,0
D:\dataset\hair\data\curly\image20.jpeg,0
D:\dataset\hair\data\curly\image200.jpg,0
D:\dataset\hair\data\curly\image201.jpg,0
D:\dataset\hair\data\curly\image202.jpg,0
D:\dataset\hair\data\curly\image203.jpg,0
D:\dataset\hair\data\curly\image204.jpg,0
D:\dataset\hair\data\curly\image209.jpg,0
D:\dataset\hair\data\curly\image21.jpeg,0
D:\dataset\hair\data\curly\image21.jpg,0
D:\dataset\hair\data\curly\image210.jpg,0
D:\dataset\hair\data\curly\image211.jpg,0
D:\dataset\hair\data\curly\image212.jpg,0
D:\dataset\hair\data\curly\image213.jpg,0
D:\dataset\hair\data\curly\image216.jpg,0
D:\dataset\hair\data\curly\image217.jpg,0
D:\dataset\hair\data\curly\image218.jpg,0
D:\dataset\hair\data\curly\image22.jpeg,0
D:\dataset\hair\data\curly\image220.jpg,0
D:\dataset\hair\data\curly\image221.jpg,0
D:\dataset\hair\data\curly\image223.jpg,0
D:\dataset\hair\data\curly\image224.jpg,0
D:\dataset\hair\data\curly\image225.jpg,0
D:\dataset\hair\data\curly\image226.jpg,0
D:\dataset\hair\data\curly\image227.jpg,0
D:\dataset\hair\data\curly\image229.jpg,0
D:\dataset\hair\data\curly\image23.jpeg,0
D:\dataset\hair\data\curly\image23.jpg,0
D:\dataset\hair\data\curly\image230.jpg,0
D:\dataset\hair\data\curly\image232.jpg,0
D:\dataset\hair\data\curly\image233.jpg,0
D:\dataset\hair\data\curly\image236.jpg,0
D:\dataset\hair\data\curly\image237.jpg,0
D:\dataset\hair\data\curly\image239.jpg,0
D:\dataset\hair\data\curly\image24.jpeg,0
D:\dataset\hair\data\curly\image240.jpg,0
D:\dataset\hair\data\curly\image242.jpg,0
D:\dataset\hair\data\curly\image243.jpg,0
D:\dataset\hair\data\curly\image244.jpg,0
D:\dataset\hair\data\curly\image245.jpg,0
D:\dataset\hair\data\curly\image246.jpg,0
D:\dataset\hair\data\curly\image248.jpg,0
D:\dataset\hair\data\curly\image249.jpg,0
D:\dataset\hair\data\curly\image25 (2).jpeg,0
D:\dataset\hair\data\curly\image25.jpeg,0
D:\dataset\hair\data\curly\image250.jpg,0
D:\dataset\hair\data\curly\image252.jpg,0
D:\dataset\hair\data\curly\image254.jpg,0
D:\dataset\hair\data\curly\image255.jpg,0
D:\dataset\hair\data\curly\image256.jpg,0
D:\dataset\hair\data\curly\image258.jpg,0
D:\dataset\hair\data\curly\image26 (2).jpg,0
D:\dataset\hair\data\curly\image26.jpg,0
D:\dataset\hair\data\curly\image260.jpg,0
D:\dataset\hair\data\curly\image261.jpg,0
D:\dataset\hair\data\curly\image264.jpg,0
D:\dataset\hair\data\curly\image265.jpg,0
D:\dataset\hair\data\curly\image266.jpg,0
D:\dataset\hair\data\curly\image267.jpg,0
D:\dataset\hair\data\curly\image268.jpg,0
D:\dataset\hair\data\curly\image27 (2).jpeg,0
D:\dataset\hair\data\curly\image27.jpeg,0
D:\dataset\hair\data\curly\image27.jpg,0
D:\dataset\hair\data\curly\image270.jpg,0
D:\dataset\hair\data\curly\image271.jpg,0
D:\dataset\hair\data\curly\image272.jpg,0
D:\dataset\hair\data\curly\image274.jpg,0
D:\dataset\hair\data\curly\image277.jpg,0
D:\dataset\hair\data\curly\image278.jpg,0
D:\dataset\hair\data\curly\image28.jpeg,0
D:\dataset\hair\data\curly\image28.jpg,0
D:\dataset\hair\data\curly\image281.jpg,0
D:\dataset\hair\data\curly\image284.jpg,0
D:\dataset\hair\data\curly\image285.jpg,0
D:\dataset\hair\data\curly\image286.jpg,0
D:\dataset\hair\data\curly\image287.jpg,0
D:\dataset\hair\data\curly\image290.jpg,0
D:\dataset\hair\data\curly\image30.jpeg,0
D:\dataset\hair\data\curly\image30.jpg,0
D:\dataset\hair\data\curly\image31.jpeg,0
D:\dataset\hair\data\curly\image31.jpg,0
D:\dataset\hair\data\curly\image32.jpeg,0
D:\dataset\hair\data\curly\image32.jpg,0
D:\dataset\hair\data\curly\image33.jpg,0
D:\dataset\hair\data\curly\image34.jpg,0
D:\dataset\hair\data\curly\image35.jpg,0
D:\dataset\hair\data\curly\image365.jpg,0
D:\dataset\hair\data\curly\image38.jpg,0
D:\dataset\hair\data\curly\image39.jpg,0
D:\dataset\hair\data\curly\image4.jpg,0
D:\dataset\hair\data\curly\image40.jpg,0
D:\dataset\hair\data\curly\image41.jpg,0
D:\dataset\hair\data\curly\image42.jpg,0
D:\dataset\hair\data\curly\image45.jpg,0
D:\dataset\hair\data\curly\image46.jpg,0
D:\dataset\hair\data\curly\image47.jpg,0
D:\dataset\hair\data\curly\image49.jpg,0
D:\dataset\hair\data\curly\image5 (2).jpg,0
D:\dataset\hair\data\curly\image5.jpg,0
D:\dataset\hair\data\curly\image51.jpg,0
D:\dataset\hair\data\curly\image52.jpg,0
D:\dataset\hair\data\curly\image54.jpg,0
D:\dataset\hair\data\curly\image56.jpg,0
D:\dataset\hair\data\curly\image57 (2).jpg,0
D:\dataset\hair\data\curly\image57.jpg,0
D:\dataset\hair\data\curly\image58.jpg,0
D:\dataset\hair\data\curly\image6.jpg,0
D:\dataset\hair\data\curly\image62.jpg,0
D:\dataset\hair\data\curly\image63.jpg,0
D:\dataset\hair\data\curly\image64.jpg,0
D:\dataset\hair\data\curly\image65.jpg,0
D:\dataset\hair\data\curly\image67.jpg,0
D:\dataset\hair\data\curly\image68.jpg,0
D:\dataset\hair\data\curly\image69.jpg,0
D:\dataset\hair\data\curly\image7.jpg,0
D:\dataset\hair\data\curly\image70.jpg,0
D:\dataset\hair\data\curly\image71.jpg,0
D:\dataset\hair\data\curly\image72.jpg,0
D:\dataset\hair\data\curly\image74.jpg,0
D:\dataset\hair\data\curly\image76.jpg,0
D:\dataset\hair\data\curly\image79.jpg,0
D:\dataset\hair\data\curly\image8.jpg,0
D:\dataset\hair\data\curly\image80.jpg,0
D:\dataset\hair\data\curly\image82.jpg,0
D:\dataset\hair\data\curly\image83.jpg,0
D:\dataset\hair\data\curly\image85.jpg,0
D:\dataset\hair\data\curly\image87.jpg,0
D:\dataset\hair\data\curly\image89.jpg,0
D:\dataset\hair\data\curly\image9.jpg,0
D:\dataset\hair\data\curly\image90.jpg,0
D:\dataset\hair\data\curly\image92.jpg,0
D:\dataset\hair\data\curly\image93.jpg,0
D:\dataset\hair\data\curly\image94.jpg,0
D:\dataset\hair\data\curly\image95.jpg,0
D:\dataset\hair\data\curly\image96.jpg,0
D:\dataset\hair\data\curly\image97.jpg,0
D:\dataset\hair\data\curly\images10.jpg,0
D:\dataset\hair\data\curly\images102.jpg,0
D:\dataset\hair\data\curly\images103.jpg,0
D:\dataset\hair\data\curly\images104.jpg,0
D:\dataset\hair\data\curly\images106.jpg,0
D:\dataset\hair\data\curly\images107.jpg,0
D:\dataset\hair\data\curly\images108.jpg,0
D:\dataset\hair\data\curly\images11.jpg,0
D:\dataset\hair\data\curly\images110.jpg,0
D:\dataset\hair\data\curly\images113.jpg,0
D:\dataset\hair\data\curly\images114.jpg,0
D:\dataset\hair\data\curly\images121.jpg,0
D:\dataset\hair\data\curly\images122.jpg,0
D:\dataset\hair\data\curly\images129.jpg,0
D:\dataset\hair\data\curly\images133.jpg,0
D:\dataset\hair\data\curly\images134.jpg,0
D:\dataset\hair\data\curly\images136.jpg,0
D:\dataset\hair\data\curly\images138.jpg,0
D:\dataset\hair\data\curly\images14.jpg,0
D:\dataset\hair\data\curly\images140.jpg,0
D:\dataset\hair\data\curly\images141.jpg,0
D:\dataset\hair\data\curly\images142.jpg,0
D:\dataset\hair\data\curly\images143.jpg,0
D:\dataset\hair\data\curly\images145.jpg,0
D:\dataset\hair\data\curly\images146.jpg,0
D:\dataset\hair\data\curly\images147.jpg,0
D:\dataset\hair\data\curly\images148.jpg,0
D:\dataset\hair\data\curly\images15.jpg,0
D:\dataset\hair\data\curly\images151.jpg,0
D:\dataset\hair\data\curly\images153.jpg,0
D:\dataset\hair\data\curly\images154.jpg,0
D:\dataset\hair\data\curly\images155.jpg,0
D:\dataset\hair\data\curly\images156.jpg,0
D:\dataset\hair\data\curly\images159.jpg,0
D:\dataset\hair\data\curly\images16.jpg,0
D:\dataset\hair\data\curly\images162.jpg,0
D:\dataset\hair\data\curly\images165.jpg,0
D:\dataset\hair\data\curly\images166.jpg,0
D:\dataset\hair\data\curly\images168.jpg,0
D:\dataset\hair\data\curly\images169.jpg,0
D:\dataset\hair\data\curly\images174.jpg,0
D:\dataset\hair\data\curly\images175.jpg,0
D:\dataset\hair\data\curly\images176.jpg,0
D:\dataset\hair\data\curly\images177.jpg,0
D:\dataset\hair\data\curly\images178.jpg,0
D:\dataset\hair\data\curly\images179.jpg,0
D:\dataset\hair\data\curly\images180.jpg,0
D:\dataset\hair\data\curly\images181.jpg,0
D:\dataset\hair\data\curly\images182.jpg,0
D:\dataset\hair\data\curly\images183.jpg,0
D:\dataset\hair\data\curly\images185.jpg,0
D:\dataset\hair\data\curly\images187.jpg,0
D:\dataset\hair\data\curly\images188.jpg,0
D:\dataset\hair\data\curly\images189.jpg,0
D:\dataset\hair\data\curly\images192.jpg,0
D:\dataset\hair\data\curly\images193.jpg,0
D:\dataset\hair\data\curly\images195.jpg,0
D:\dataset\hair\data\curly\images196.jpg,0
D:\dataset\hair\data\curly\images197.jpg,0
D:\dataset\hair\data\curly\images200.jpg,0
D:\dataset\hair\data\curly\images201.jpg,0
D:\dataset\hair\data\curly\images206.jpg,0
D:\dataset\hair\data\curly\images207.jpg,0
D:\dataset\hair\data\curly\images209.jpg,0
D:\dataset\hair\data\curly\images210.jpg,0
D:\dataset\hair\data\curly\images211.jpg,0
D:\dataset\hair\data\curly\images212.jpg,0
D:\dataset\hair\data\curly\images218.jpg,0
D:\dataset\hair\data\curly\images219.jpg,0
D:\dataset\hair\data\curly\images222.jpg,0
D:\dataset\hair\data\curly\images225.jpg,0
D:\dataset\hair\data\curly\images226.jpg,0
D:\dataset\hair\data\curly\images231.jpg,0
D:\dataset\hair\data\curly\images25.jpg,0
D:\dataset\hair\data\curly\images29.jpg,0
D:\dataset\hair\data\curly\images36.jpg,0
D:\dataset\hair\data\curly\images43.jpg,0
D:\dataset\hair\data\curly\images44.jpg,0
D:\dataset\hair\data\curly\images46.jpg,0
D:\dataset\hair\data\curly\images47.jpg,0
D:\dataset\hair\data\curly\images48.jpg,0
D:\dataset\hair\data\curly\images49.jpg,0
D:\dataset\hair\data\curly\images50.jpg,0
D:\dataset\hair\data\curly\images54.jpg,0
D:\dataset\hair\data\curly\images56.jpg,0
D:\dataset\hair\data\curly\images59.jpg,0
D:\dataset\hair\data\curly\images61.jpg,0
D:\dataset\hair\data\curly\images62.jpg,0
D:\dataset\hair\data\curly\images65.jpg,0
D:\dataset\hair\data\curly\images67.jpg,0
D:\dataset\hair\data\curly\images68.jpg,0
D:\dataset\hair\data\curly\images69.jpg,0
D:\dataset\hair\data\curly\images73.jpg,0
D:\dataset\hair\data\curly\images74.jpg,0
D:\dataset\hair\data\curly\images76.jpg,0
D:\dataset\hair\data\curly\images78.jpg,0
D:\dataset\hair\data\curly\images88.jpg,0
D:\dataset\hair\data\curly\images96.jpg,0
D:\dataset\hair\data\curly\images97.jpg,0
D:\dataset\hair\data\curly\IMG_0391-570x350.jpg,0
D:\dataset\hair\data\curly\IMG_2412-768x1024.jpg,0
D:\dataset\hair\data\curly\IMG_5387.jpg,0
D:\dataset\hair\data\curly\IMG_6937__1518102110_110.227.187.202-1-min.jpeg,0
D:\dataset\hair\data\curly\india-3-700.jpg,0
D:\dataset\hair\data\curly\india-curly-hair.png,0
D:\dataset\hair\data\curly\indian-baby-girl-curly-hair-600w-1664313094.jpg,0
D:\dataset\hair\data\curly\indian-curly-hair-1547795308-4655363.jpeg,0
D:\dataset\hair\data\curly\Indian-Curly-Snob-Life_e81fc59e-fe8f-4330-881d-8ca2f0b3c1b1_grande.jpg,0
D:\dataset\hair\data\curly\indian-hairstyles-for-short-hair-1.jpg,0
D:\dataset\hair\data\curly\Indian-Short-Hairstyles-6.jpg,0
D:\dataset\hair\data\curly\IndianCurlPride1.jpg,0
D:\dataset\hair\data\curly\ing-pink-smartphone-and-taking-selfie-pretty-girl-watching-funny-interesting-comedy-smiling-and-posing-at-camera-during-film-in-cinema-hall-RA8X2K.jpg,0
D:\dataset\hair\data\curly\inside_1515662497.jpg,0
D:\dataset\hair\data\curly\Isee-Hair-Products-7A-Indian-Curly-Virgin-Hair-Bundle-Deals-Indian-Kinky-Curly-Hair-Indian-Curly.jpg,0
D:\dataset\hair\data\curly\istockphoto-1180989160-612x612_1.jpeg,0
D:\dataset\hair\data\curly\istockphoto-1395309768-612x612.jpeg,0
D:\dataset\hair\data\curly\jennifer-lopez-curly-hair-0729-main.jpg,0
D:\dataset\hair\data\curly\jordin-sparks-curly-hair.jpg,0
D:\dataset\hair\data\curly\joyful-pretty-girl-with-curly-hair-takes-selfie-mobile-phone_8353-6635.jpg,0
D:\dataset\hair\data\curly\Kopie_van_henriette2.jpg,0
